model_type,feature,weight,threshold,roc_auc,pr_auc,precision,recall,f1,mcc,category,val_roc_auc,val_pr_auc,val_precision,val_recall,val_f1,val_mcc,cv_f1,cv_f1_std,cv_precision,cv_precision_std,cv_recall,cv_recall_std
multi_feature,ALL_FEATURES_COMBINED,,0.5473404809622978,0.99780109739369,0.9959749514708416,0.9957446808510638,0.9629629629629628,0.9790794979079498,0.9759396860373984,E2P2,,1.0000000000000002,1.0,0.5714285714285714,0.7272727272727273,0.0,,,,,,
multi_feature,ALL_COMBINED,,0.770139062997503,0.9936900612686648,0.990393560689378,0.989247311827957,0.9484536082474226,0.968421052631579,0.9633961330095688,Foldseek,,1.0000000000000002,1.0,0.6428571428571429,0.782608695652174,0.0,,,,,,
multi_feature,ALL_COMBINED,,0.3960362566650746,0.9425877914951988,0.8506516692448689,0.8810126582278481,0.7160493827160493,0.7900113507377979,0.765360653418199,CladePP,,,,,,,,,,,,
multi_feature,ALL_COMBINED,,0.2668503578735138,0.7857823506584013,0.5132760877147576,0.5495495495495496,0.505175983436853,0.5264293419633226,0.4205364123207443,Docking,,1.0,1.0,0.1666666666666666,0.2857142857142857,0.0,0.4235220028028084,0.0462069566342125,0.6652788419628879,0.0582316469198179,0.3118012422360248,0.0421994726744423
multi_feature,ALL_COMBINED,,0.1916566894771782,0.6378779065835215,0.2850678834872466,0.2894736842105263,0.3196125907990315,0.3037974683544304,0.1908645437854338,Promoter,,,,,,,,,,,,
