group_name,dataset_group,num_promoters,num_comparisons,similarity_score,normalized_similarity,similarity_category,size_adjustment_factor,comparison_weight,std_adjustment_factor,similarity_std,mean_proximal_similarity,mean_distal_similarity,num_tfbs_types_found,status,error_msg
RANDOM_MGC_9182,Random,3,3,47.26,42.58,Moderate Similarity,0.92,0.85,1.0,14.88,0.42,0.595,21.0,success,
RANDOM_MGC_9183,Random,3,3,58.62,52.82,High Similarity,0.92,0.85,1.0,11.15,0.542,0.689,23.0,success,
RANDOM_MGC_9179,Random,5,10,61.49,61.49,High Similarity,1.0,1.0,1.0,7.75,0.589,0.676,24.0,success,
RANDOM_MGC_9181,Random,5,10,54.99,54.99,High Similarity,1.0,1.0,1.0,4.71,0.541,0.572,25.0,success,
RANDOM_MGC_9186,Random,3,3,51.58,46.47,Moderate Similarity,0.92,0.85,1.0,13.58,0.517,0.513,22.0,success,
RANDOM_MGC_9184,Random,5,10,51.46,51.46,High Similarity,1.0,1.0,1.0,13.07,0.477,0.602,25.0,success,
RANDOM_MGC_9185,Random,5,10,54.94,54.94,High Similarity,1.0,1.0,1.0,12.99,0.592,0.45,25.0,success,
RANDOM_MGC_9189,Random,4,6,50.82,48.94,Moderate Similarity,0.96,0.95,1.0,9.91,0.467,0.605,25.0,success,
RANDOM_MGC_9187,Random,5,10,39.97,39.97,Moderate Similarity,1.0,1.0,1.0,9.06,0.376,0.454,24.0,success,
RANDOM_MGC_9188,Random,5,10,55.68,55.68,High Similarity,1.0,1.0,1.0,6.82,0.53,0.618,24.0,success,
RANDOM_MGC_9190,Random,4,6,53.46,51.48,High Similarity,0.96,0.95,1.0,8.99,0.532,0.54,23.0,success,
RANDOM_MGC_9191,Random,4,6,56.77,54.67,High Similarity,0.96,0.95,1.0,5.83,0.525,0.669,22.0,success,
RANDOM_MGC_9192,Random,3,3,27.86,24.83,Low Similarity,0.92,0.85,0.95,16.96,0.223,0.408,23.0,success,
RANDOM_MGC_9197,Random,3,3,58.48,52.69,High Similarity,0.92,0.85,1.0,2.19,0.585,0.584,24.0,success,
RANDOM_MGC_9193,Random,5,10,48.23,48.23,Moderate Similarity,1.0,1.0,1.0,9.92,0.407,0.658,24.0,success,
RANDOM_MGC_9198,Random,3,3,51.06,46.01,Moderate Similarity,0.92,0.85,1.0,6.79,0.494,0.55,23.0,success,
RANDOM_MGC_9195,Random,5,10,59.09,59.09,High Similarity,1.0,1.0,1.0,7.64,0.568,0.645,25.0,success,
RANDOM_MGC_9194,Random,5,10,48.34,48.34,Moderate Similarity,1.0,1.0,1.0,7.4,0.43,0.607,24.0,success,
RANDOM_MGC_9196,Random,5,10,48.79,48.79,Moderate Similarity,1.0,1.0,1.0,8.74,0.469,0.533,24.0,success,
RANDOM_MGC_9200,Random,3,3,44.2,39.82,Moderate Similarity,0.92,0.85,1.0,10.83,0.425,0.481,21.0,success,
RANDOM_MGC_9199,Random,4,6,55.37,53.32,High Similarity,0.96,0.95,1.0,10.51,0.516,0.641,26.0,success,
RANDOM_MGC_9202,Random,3,3,53.31,48.03,Moderate Similarity,0.92,0.85,1.0,6.36,0.52,0.565,22.0,success,
RANDOM_MGC_9201,Random,4,6,54.51,52.49,High Similarity,0.96,0.95,1.0,9.84,0.482,0.693,23.0,success,
RANDOM_MGC_9203,Random,5,10,62.1,62.1,High Similarity,1.0,1.0,1.0,4.47,0.643,0.571,26.0,success,
RANDOM_MGC_9204,Random,5,10,47.98,47.98,Moderate Similarity,1.0,1.0,1.0,9.22,0.475,0.492,24.0,success,
RANDOM_MGC_9205,Random,4,6,48.27,46.48,Moderate Similarity,0.96,0.95,1.0,7.95,0.399,0.678,24.0,success,
RANDOM_MGC_9206,Random,4,6,53.41,51.43,High Similarity,0.96,0.95,1.0,7.3,0.521,0.565,24.0,success,
RANDOM_MGC_9207,Random,4,6,57.36,55.24,High Similarity,0.96,0.95,1.0,6.65,0.543,0.645,22.0,success,
RANDOM_MGC_9208,Random,4,6,55.45,53.4,High Similarity,0.96,0.95,1.0,10.52,0.512,0.654,24.0,success,
RANDOM_MGC_9210,Random,3,3,53.09,47.83,Moderate Similarity,0.92,0.85,1.0,5.87,0.553,0.478,23.0,success,
RANDOM_MGC_9212,Random,3,3,45.13,40.21,Moderate Similarity,0.92,0.85,0.95,15.17,0.399,0.573,23.0,success,
RANDOM_MGC_9209,Random,4,6,37.59,36.2,Moderate Similarity,0.96,0.95,1.0,10.66,0.345,0.448,23.0,success,
RANDOM_MGC_9213,Random,3,3,44.16,39.79,Moderate Similarity,0.92,0.85,1.0,10.84,0.422,0.487,22.0,success,
RANDOM_MGC_9211,Random,5,10,47.51,47.51,Moderate Similarity,1.0,1.0,1.0,12.8,0.432,0.575,22.0,success,
RANDOM_MGC_9216,Random,3,3,53.48,48.19,Moderate Similarity,0.92,0.85,1.0,5.49,0.548,0.505,24.0,success,
RANDOM_MGC_9214,Random,5,10,42.86,42.86,Moderate Similarity,1.0,1.0,1.0,9.53,0.403,0.488,28.0,success,
RANDOM_MGC_9218,Random,3,3,51.56,46.46,Moderate Similarity,0.92,0.85,1.0,9.2,0.47,0.622,20.0,success,
RANDOM_MGC_9215,Random,4,6,52.2,50.27,High Similarity,0.96,0.95,1.0,7.92,0.493,0.589,25.0,success,
RANDOM_MGC_9219,Random,3,3,63.61,57.31,High Similarity,0.92,0.85,1.0,5.13,0.719,0.442,21.0,success,
RANDOM_MGC_9217,Random,5,10,55.37,55.37,High Similarity,1.0,1.0,1.0,11.84,0.57,0.515,24.0,success,
RANDOM_MGC_9220,Random,3,3,50.39,45.4,Moderate Similarity,0.92,0.85,1.0,13.98,0.44,0.653,21.0,success,
RANDOM_MGC_9222,Random,3,3,44.43,40.03,Moderate Similarity,0.92,0.85,1.0,8.66,0.389,0.572,24.0,success,
RANDOM_MGC_9223,Random,4,6,51.21,49.32,Moderate Similarity,0.96,0.95,1.0,5.65,0.506,0.526,23.0,success,
RANDOM_MGC_9221,Random,5,10,50.1,50.1,High Similarity,1.0,1.0,1.0,10.48,0.483,0.543,26.0,success,
RANDOM_MGC_9224,Random,4,6,46.75,45.02,Moderate Similarity,0.96,0.95,1.0,7.3,0.433,0.549,22.0,success,
RANDOM_MGC_9226,Random,4,6,57.5,55.37,High Similarity,0.96,0.95,1.0,6.54,0.608,0.497,22.0,success,
RANDOM_MGC_9227,Random,4,6,51.01,49.12,Moderate Similarity,0.96,0.95,1.0,5.61,0.471,0.601,21.0,success,
RANDOM_MGC_9225,Random,5,10,55.54,55.54,High Similarity,1.0,1.0,1.0,8.73,0.53,0.614,25.0,success,
RANDOM_MGC_9228,Random,3,3,64.94,58.51,High Similarity,0.92,0.85,1.0,9.67,0.672,0.596,20.0,success,
RANDOM_MGC_9229,Random,4,6,43.27,41.66,Moderate Similarity,0.96,0.95,1.0,11.27,0.408,0.489,24.0,success,
RANDOM_MGC_9231,Random,4,6,53.74,51.75,High Similarity,0.96,0.95,1.0,5.27,0.54,0.531,23.0,success,
RANDOM_MGC_9233,Random,3,3,53.88,48.54,Moderate Similarity,0.92,0.85,1.0,7.01,0.5,0.628,23.0,success,
RANDOM_MGC_9230,Random,5,10,48.18,48.18,Moderate Similarity,1.0,1.0,1.0,12.26,0.453,0.548,24.0,success,
RANDOM_MGC_9232,Random,4,6,56.86,54.76,High Similarity,0.96,0.95,1.0,4.99,0.522,0.678,25.0,success,
RANDOM_MGC_9236,Random,3,3,45.77,41.24,Moderate Similarity,0.92,0.85,1.0,12.46,0.362,0.681,22.0,success,
RANDOM_MGC_9234,Random,5,10,54.03,54.03,High Similarity,1.0,1.0,1.0,6.31,0.512,0.607,24.0,success,
RANDOM_MGC_9235,Random,5,10,54.2,54.2,High Similarity,1.0,1.0,1.0,14.71,0.544,0.538,24.0,success,
RANDOM_MGC_9237,Random,5,10,50.37,50.37,High Similarity,1.0,1.0,1.0,7.2,0.482,0.554,23.0,success,
RANDOM_MGC_9241,Random,3,3,49.98,45.04,Moderate Similarity,0.92,0.85,1.0,9.97,0.476,0.556,23.0,success,
RANDOM_MGC_9238,Random,5,10,50.86,50.86,High Similarity,1.0,1.0,1.0,8.47,0.493,0.546,24.0,success,
RANDOM_MGC_9239,Random,5,10,47.4,47.4,Moderate Similarity,1.0,1.0,1.0,10.21,0.416,0.61,24.0,success,
RANDOM_MGC_9240,Random,5,10,45.93,45.93,Moderate Similarity,1.0,1.0,1.0,11.82,0.42,0.552,26.0,success,
RANDOM_MGC_9245,Random,4,6,50.95,49.06,Moderate Similarity,0.96,0.95,1.0,7.93,0.521,0.483,28.0,success,
RANDOM_MGC_9242,Random,5,10,51.62,51.62,High Similarity,1.0,1.0,1.0,10.46,0.499,0.557,23.0,success,
RANDOM_MGC_9247,Random,4,6,46.51,44.79,Moderate Similarity,0.96,0.95,1.0,11.66,0.435,0.535,22.0,success,
RANDOM_MGC_9243,Random,5,10,55.19,55.19,High Similarity,1.0,1.0,1.0,7.89,0.537,0.587,24.0,success,
RANDOM_MGC_9244,Random,5,10,48.54,48.54,Moderate Similarity,1.0,1.0,1.0,11.44,0.467,0.527,21.0,success,
RANDOM_MGC_9246,Random,5,10,56.76,56.76,High Similarity,1.0,1.0,1.0,8.82,0.551,0.606,22.0,success,
RANDOM_MGC_9252,Random,3,3,44.79,40.36,Moderate Similarity,0.92,0.85,1.0,12.29,0.442,0.463,24.0,success,
RANDOM_MGC_9248,Random,4,6,54.69,52.66,High Similarity,0.96,0.95,1.0,8.5,0.54,0.563,22.0,success,
RANDOM_MGC_9251,Random,4,6,45.12,43.45,Moderate Similarity,0.96,0.95,1.0,9.55,0.394,0.585,23.0,success,
RANDOM_MGC_9253,Random,3,3,54.53,49.13,Moderate Similarity,0.92,0.85,1.0,2.05,0.524,0.594,21.0,success,
RANDOM_MGC_9250,Random,5,10,51.5,51.5,High Similarity,1.0,1.0,1.0,11.94,0.467,0.628,24.0,success,
RANDOM_MGC_9249,Random,5,10,48.23,48.23,Moderate Similarity,1.0,1.0,1.0,14.39,0.445,0.569,22.0,success,
RANDOM_MGC_9256,Random,3,3,43.14,38.44,Moderate Similarity,0.92,0.85,0.95,17.11,0.422,0.454,21.0,success,
RANDOM_MGC_9257,Random,3,3,46.71,42.09,Moderate Similarity,0.92,0.85,1.0,9.64,0.412,0.596,23.0,success,
RANDOM_MGC_9254,Random,4,6,60.89,58.64,High Similarity,0.96,0.95,1.0,9.25,0.573,0.694,21.0,success,
RANDOM_MGC_9259,Random,3,3,46.49,41.89,Moderate Similarity,0.92,0.85,1.0,6.31,0.408,0.597,24.0,success,
RANDOM_MGC_9258,Random,4,6,56.72,54.62,High Similarity,0.96,0.95,1.0,8.05,0.512,0.696,22.0,success,
RANDOM_MGC_9255,Random,5,10,54.49,54.49,High Similarity,1.0,1.0,1.0,7.62,0.52,0.603,25.0,success,
RANDOM_MGC_9261,Random,3,3,50.31,45.33,Moderate Similarity,0.92,0.85,1.0,10.95,0.538,0.422,24.0,success,
RANDOM_MGC_9263,Random,3,3,45.77,41.23,Moderate Similarity,0.92,0.85,1.0,14.91,0.449,0.479,26.0,success,
RANDOM_MGC_9260,Random,4,6,60.89,58.64,High Similarity,0.96,0.95,1.0,6.64,0.576,0.686,22.0,success,
RANDOM_MGC_9264,Random,3,3,45.19,40.72,Moderate Similarity,0.92,0.85,1.0,11.4,0.365,0.654,20.0,success,
RANDOM_MGC_9262,Random,5,10,50.25,50.25,High Similarity,1.0,1.0,1.0,9.02,0.458,0.606,24.0,success,
RANDOM_MGC_9371,Random,4,6,56.93,54.83,High Similarity,0.96,0.95,1.0,8.48,0.539,0.64,22.0,success,
RANDOM_MGC_9265,Random,5,10,55.17,55.17,High Similarity,1.0,1.0,1.0,11.32,0.512,0.645,26.0,success,
RANDOM_MGC_9372,Random,4,6,32.97,31.09,Moderate Similarity,0.96,0.95,0.9,27.86,0.324,0.344,23.0,success,
RANDOM_MGC_9373,Random,4,6,53.35,51.37,High Similarity,0.96,0.95,1.0,6.38,0.498,0.616,24.0,success,
RANDOM_MGC_9374,Random,4,6,55.81,53.74,High Similarity,0.96,0.95,1.0,8.93,0.502,0.689,24.0,success,
RANDOM_MGC_9375,Random,4,6,63.03,60.7,High Similarity,0.96,0.95,1.0,7.97,0.587,0.733,27.0,success,
RANDOM_MGC_9378,Random,3,3,40.57,36.55,Moderate Similarity,0.92,0.85,1.0,8.16,0.35,0.535,22.0,success,
RANDOM_MGC_9380,Random,3,3,44.14,39.77,Moderate Similarity,0.92,0.85,1.0,6.37,0.429,0.469,25.0,success,
RANDOM_MGC_9377,Random,4,6,70.02,67.43,High Similarity,0.96,0.95,1.0,3.75,0.727,0.638,26.0,success,
RANDOM_MGC_9376,Random,5,10,51.86,51.86,High Similarity,1.0,1.0,1.0,8.24,0.478,0.614,29.0,success,
RANDOM_MGC_9381,Random,3,3,52.12,46.96,Moderate Similarity,0.92,0.85,1.0,5.64,0.537,0.485,22.0,success,
RANDOM_MGC_9379,Random,5,10,63.46,63.46,High Similarity,1.0,1.0,1.0,6.37,0.647,0.606,25.0,success,
RANDOM_MGC_9382,Random,5,10,63.51,63.51,High Similarity,1.0,1.0,1.0,7.43,0.66,0.576,23.0,success,
RANDOM_MGC_9383,Random,5,10,66.15,66.15,High Similarity,1.0,1.0,1.0,2.96,0.653,0.68,28.0,success,
RANDOM_MGC_9386,Random,3,3,56.8,51.17,High Similarity,0.92,0.85,1.0,4.41,0.555,0.599,24.0,success,
RANDOM_MGC_9387,Random,3,3,55.96,50.42,High Similarity,0.92,0.85,1.0,12.52,0.561,0.556,22.0,success,
RANDOM_MGC_9385,Random,4,6,60.47,58.23,High Similarity,0.96,0.95,1.0,3.97,0.597,0.623,27.0,success,
RANDOM_MGC_9384,Random,5,10,63.22,63.22,High Similarity,1.0,1.0,1.0,7.66,0.624,0.65,27.0,success,
RANDOM_MGC_9389,Random,4,6,58.48,56.32,High Similarity,0.96,0.95,1.0,6.59,0.575,0.607,25.0,success,
RANDOM_MGC_9388,Random,4,6,62.02,59.73,High Similarity,0.96,0.95,1.0,7.11,0.632,0.594,26.0,success,
RANDOM_MGC_9390,Random,4,6,57.5,55.37,High Similarity,0.96,0.95,1.0,5.29,0.549,0.636,23.0,success,
RANDOM_MGC_9391,Random,4,6,52.98,51.02,High Similarity,0.96,0.95,1.0,8.58,0.492,0.618,28.0,success,
RANDOM_MGC_9392,Random,4,6,53.39,51.42,High Similarity,0.96,0.95,1.0,5.58,0.506,0.599,24.0,success,
RANDOM_MGC_9393,Random,4,6,51.76,49.84,Moderate Similarity,0.96,0.95,1.0,8.78,0.51,0.536,25.0,success,
RANDOM_MGC_9395,Random,3,3,36.25,31.94,Moderate Similarity,0.92,0.85,0.9,25.36,0.433,0.199,22.0,success,
RANDOM_MGC_9394,Random,4,6,56.65,54.55,High Similarity,0.96,0.95,1.0,10.06,0.519,0.678,25.0,success,
RANDOM_MGC_9397,Random,3,3,58.38,52.6,High Similarity,0.92,0.85,1.0,6.19,0.582,0.587,23.0,success,
RANDOM_MGC_9398,Random,3,3,54.35,48.97,Moderate Similarity,0.92,0.85,1.0,1.66,0.527,0.582,23.0,success,
